lat;lon;date_msg;address;inf_detail;vid
53.673985;30.681442;01.12.2018;Волковичи, Улица Центральная, дом 26;Фасад ПАСП-12 д. Волковичи, Б/р сх. №6.;0
53.978023;30.803499;01.12.2018;Сластены, Улица Центральная, дом 20;Фасад ПАСП-14 д. Сластены, Б/р сх. №6.;0
53.673985;30.681442;02.12.2018;Волковичи, Улица Центральная, дом 26;Занятие боевое развертывание схема № 28;0
53.978023;30.803499;02.12.2018;Сластены, Улица Центральная, дом 20;Занятие боевое развертывание схема № 3;0
53.150887;29.224279;03.12.2018;г. Бобруйск, Улица Октябрьская, дом 159;ПАСП фасад б/р №33;0
53.673985;30.681442;05.12.2018;Волковичи, Улица Центральная, дом 26;Занятие боевое развертывание схема №13;0
53.978023;30.803499;05.12.2018;Сластены, Улица Центральная, дом 20;Боевое развертывание схема №13;0
52.708952;25.318157;03.12.2018;Ивацевичи, Улица М.Танка, дом 15;Платные услуги, подвоз воды, договор № 584 от 29.11.2 18г.;0
53.815222;31.081119;05.12.2018;Староселы;Уборка аварийных деревьев;0
52.710052;25.318293;04.12.2018;Ивацевичи, Улица М.Танка, дом 15;Подвоз воды, заказчик-Брестская СПМК-2, договор №584 от 29.11.;0
53.194533;26.159741;05.12.2018;Крошин, Улица Советская, дом 22;Отработка норматива б/р № 2.;0
52.053889;30.500833;06.12.2018;Уборок, Улица Промышленная, дом 5а;Отработка норматива б/р №6.;0
52.556743;31.180713;04.12.2018;Ветка, Улица Октябрьская, дом 141;ТСЗ;0
55.297436;29.606945;06.12.2018;Шумилино, Улица Луначарского, дом 44;Занятия по ТСП;0
52.097915;24.140973;01.12.2018;Озяты, Улица Центральная, дом 35;Б/р№3А;0
53.140242;25.737759;05.12.2018;Полонка, Улица Щербакова, дом 46;Отработка норматива б/р № 6.;0
53.140242;53.140242;02.12.2018;Полонка, Улица Щербакова, дом 46;Отработка норматива б/р. № 13.;0
52.097915;24.140973;02.12.2018;Озяты, Улица Центральная, дом 95;Б/р №6А;0
52.260685;23.986888;02.12.2018;Шпитали, Улица Центральная, дом 36;Б/р №6А;0
52.097915;24.140973;03.12.2018;Озяты, Улица Центральная, дом 95;Б/р №6а;0
30.500833;52.053889;04.12.2018;Уборок, Улица Промышленная, дом 4;отработка норматива б/р №6;0
53.464272;27.212248;01.12.2018;Узда, Улица Победа, дом 50;Пожар блочной бани 4х6 м, крыша металлическая по деревянной обрешетке, электрифицирована. В результате пожара уничтожено имущество парильного помещения 2х3 м, закопчены стены бани.;3
52.948221;26.360625;01.12.2018;Тальминовичи, Улица Ленина, дом 7а;Отработка норматива Б/р №15 на территории ПАСП;0
53.146164;29.231206;05.12.2018;г. Бобруйск, Улица Социалистическая, дом 126, кв.53;открывание двери;0
52.577427;25.380210;05.12.2018;Ходаки, Улица Михнюка, дом 44;ТСЗ;0
55.498114;28.787434;03.12.2018;Полоцк, Улица Бабушкина, дом 121Б;Занятия ПАСП;0
55.498114;28.787434;03.12.2018;Полоцк, Улица Бабушкина, дом 121Б;Занятия ПАСП;0
53.187316;29.211058;02.12.2018;г. Бобруйск, Улица Энергетиков, дом 7;ПАСП  фасад;0
51.433333;30.566667;03.12.2018;Комарин, Улица Ленина В.И., дом 89;Отработка норматива б/р №3;0
51.783333;30.266667;03.12.2018;Брагин, Улица Кравченко, дом 7а;Отработка норматива б/р №3;0
54.418832;27.834598;05.12.2018;Плещеницы, Улица В.И.Ленина, дом 1;проведение ТСЗ в АСВ;0
52.753451;38.514991;01.12.2018;Коссово, Улица 3 Февраля, дом 12а;Отработка нормативов ПАСП № 5,6;0
53.128245;29.178706;04.12.2018;г. Бобруйск, Улица Орловского, дом 9;ТСЗ, в АСВ;0
53.187316;29.211058;04.12.2018;г. Бобруйск, Улица Энергетиков, дом 7;ПАСП;0
53.568357;30.878422;03.12.2018;Лопатичи, Улица Степанова Николая Лукича;Занятия по ПАСП Б.Р.13/1.13/2.;0
54.046217;30.825055;05.12.2018;Коровчино;Занятия ПАСП б/р № 14;0
53.182617;29.206451;05.12.2018;г. Бобруйск, Шоссе Минское, дом 4;ТСЗ;0
53.187316;29.211058;02.12.2018;г. Бобруйск, дом 7;ПАСП,манеж;0
54.009404;31.194490;05.12.2018;Рясно;Занятия ПАСП б/р № 14;0
53.139741;29.421066;01.12.2018;Слобода, Улица Центральная;ПАСП фасад б/р №3;0
53.169638;29.168921;01.12.2018;г. Бобруйск, Улица Гагарина, дом 46;ПАСП фасад б/р №13;0
